name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
Restaurant A,Yes,Yes,4.1/5,120,Koramangala,Casual Dining,"North Indian, Chinese",600,Buffet
Cafe B,yes,No,3.8/5,85,Indiranagar,Cafe,"Cafe, Fast Food",400,Cafes
Dining C,No,Yes,NEW,0,BTM,Casual Dining,South Indian,"1,200",Delivery
Dine D,no,no,4.5/5,450,Jayanagar,Fine Dining,"Italian, Continental","2,500",Dine-out
Cafe E,Yes,No,-,12,Koramangala,Cafe,"Beverages, Desserts",300,Cafes
Restaurant F,No,Yes,3.2/5,60,Indiranagar,Quick Bites,South Indian,250,Delivery
Bar G,Yes,no,4.0/5,310,MG Road,Bar,"Finger Food, North Indian","1,500",Pubs and bars
Buffet H,no,yes,3.9/5,220,BTM,Casual Dining,"North Indian, Mughlai","1,000",Buffet
Cafe I,yes,no,4.2/5,150,Koramangala,Cafe,"Coffee, Tea",350,Cafes
Dining J,Yes,Yes,3.5/5,95,Jayanagar,Casual Dining,"Biryani, Chinese",800,Dine-out
